        Date        , GPU Core Clock [MHz] , GPU Core Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption [% TDP] , PerfCap Reason [] , VDDC [V] ,
2018-01-25 16:18:03 ,              135.0   ,              162.0   ,               38.0   ,              24   ,                1043   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:18:04 ,              135.0   ,              162.0   ,               38.0   ,              24   ,                1040   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:18:05 ,              135.0   ,              162.0   ,               38.0   ,              24   ,                1039   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:18:06 ,              135.0   ,              162.0   ,               38.0   ,              24   ,                1038   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:18:07 ,              135.0   ,              162.0   ,               38.0   ,              24   ,                1039   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:18:08 ,              135.0   ,              162.0   ,               38.0   ,              24   ,                1039   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:18:09 ,              135.0   ,              162.0   ,               38.0   ,              24   ,                1039   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8500   ,
2018-01-25 16:18:10 ,              135.0   ,              162.0   ,               38.0   ,              24   ,                1038   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:18:11 ,              135.0   ,              162.0   ,               38.0   ,              24   ,                1035   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:12 ,              135.0   ,              162.0   ,               38.0   ,              24   ,                1034   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:13 ,              135.0   ,              162.0   ,               37.0   ,              24   ,                1034   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:14 ,              135.0   ,              162.0   ,               37.0   ,              24   ,                1034   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:15 ,              135.0   ,              162.0   ,               37.0   ,              24   ,                1034   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:16 ,              135.0   ,              162.0   ,               37.0   ,              24   ,                1034   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:17 ,              135.0   ,              162.0   ,               37.0   ,              24   ,                1034   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:18 ,              135.0   ,              162.0   ,               37.0   ,              24   ,                1031   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:19 ,              135.0   ,              162.0   ,               37.0   ,              24   ,                1030   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:20 ,              135.0   ,              162.0   ,               37.0   ,              24   ,                1030   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:21 ,              135.0   ,              162.0   ,               37.0   ,              23   ,                1030   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:22 ,              135.0   ,              162.0   ,               37.0   ,              23   ,                1030   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
