arch,model,n_batch,n_read,n,d_d1,n_word,p,d_cnn1,d_cnn2,d_d3,n_class,d_emb1,d_d2,k2,k1,n_params,gb,elapsed,end,start,epoch
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,9.652263879776001,1516999026.301477,1516999016.649213,0
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,7.989669561386108,1516999034.2921474,1516999026.3024778,1
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,7.939621210098267,1516999042.2317686,1516999034.2921474,2
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.065741777420044,1516999050.2975104,1516999042.2317686,3
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.049725770950317,1516999058.3472362,1516999050.2975104,4
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.121795654296875,1516999066.4690318,1516999058.3472362,5
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,7.947628498077393,1516999074.4166603,1516999066.4690318,6
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.018697500228882,1516999082.4353578,1516999074.4166603,7
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.031708240509033,1516999090.467066,1516999082.4353578,8
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.083759784698486,1516999098.551827,1516999090.4680672,9
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.001678705215454,1516999106.5545073,1516999098.5528286,10
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,7.854539155960083,1516999114.4090464,1516999106.5545073,11
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.145819187164307,1516999122.5548656,1516999114.4090464,12
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,7.906605958938599,1516999130.4614716,1516999122.5548656,13
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.01767897605896,1516999138.4791505,1516999130.4614716,14
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.14882206916809,1516999146.6279726,1516999138.4791505,15
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,7.9936723709106445,1516999154.621645,1516999146.6279726,16
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.144818544387817,1516999162.7664635,1516999154.621645,17
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.107781410217285,1516999170.874245,1516999162.7664635,18
/cpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,8.14581847190857,1516999179.0200634,1516999170.874245,19
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,3.2488489151000977,1516999008.9657125,1516999005.7168636,0
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.38135337829589844,1516999009.347066,1516999008.9657125,1
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.38336896896362305,1516999009.730435,1516999009.347066,2
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.38237833976745605,1516999010.113814,1516999009.7314358,3
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.38036561012268066,1516999010.4951851,1516999010.1148195,4
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.39237213134765625,1516999010.8875573,1516999010.4951851,5
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.3853583335876465,1516999011.2729156,1516999010.8875573,6
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.38538146018981934,1516999011.658297,1516999011.2729156,7
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.38335537910461426,1516999012.0416524,1516999011.658297,8
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.38538265228271484,1516999012.4280362,1516999012.0426536,9
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.3793511390686035,1516999012.8073874,1516999012.4280362,10
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.3844029903411865,1516999013.192804,1516999012.808401,11
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.38141322135925293,1516999013.5742173,1516999013.192804,12
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.38138294219970703,1516999013.9556003,1516999013.5742173,13
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.38641357421875,1516999014.3420138,1516999013.9556003,14
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.3833637237548828,1516999014.7253776,1516999014.3420138,15
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.3843567371368408,1516999015.1097343,1516999014.7253776,16
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.38238000869750977,1516999015.4921143,1516999015.1097343,17
/gpu:0,m1,128,40,500,128,257,1280,32,32,32,5,128,64,3,3,83919749,40.64362049102783,0.3823544979095459,1516999015.8744688,1516999015.4921143,18
